City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Tura,IN,2021-04-08 11:34:03,25.5198,90.2201,85.73,28,4,1.57
143,Nedjo,ET,2021-04-08 11:34:03,9.5046,35.5019,88.36,10,69,8.34
144,Saskylakh,RU,2021-04-08 11:34:04,71.9167,114.0833,-1.71,98,100,8.61
145,Salalah,OM,2021-04-08 11:34:04,17.0151,54.0924,93.2,26,0,11.5
146,Avarua,CK,2021-04-08 11:34:04,-21.2078,-159.775,80.6,78,68,10.36
147,Barrow,US,2021-04-08 11:34:05,71.2906,-156.7887,-20.2,69,1,6.91
148,Port Augusta,AU,2021-04-08 11:34:05,-32.5,137.7667,73.4,64,93,8.05
149,Kodiak,US,2021-04-08 11:29:41,57.79,-152.4072,37.4,60,75,17.27
150,Kinango,KE,2021-04-08 11:34:06,-4.1372,39.3153,89.6,55,40,12.66
151,Mgandu,TZ,2021-04-08 11:34:06,-5.95,34.1333,73.96,60,64,7.11
152,Fukue,JP,2021-04-08 11:34:07,32.6881,128.8419,57.2,67,0,4.61
153,Mahebourg,MU,2021-04-08 11:34:07,-20.4081,57.7,84.2,65,75,11.5
154,Udachnyy,RU,2021-04-08 11:31:22,66.4167,112.4,10.13,89,98,18.9
155,Meiktila,MM,2021-04-08 11:29:11,20.8667,95.8667,97.52,19,24,9.42
156,East London,ZA,2021-04-08 11:34:08,-33.0153,27.9116,73.4,73,20,9.22
157,Larnaca,CY,2021-04-08 11:34:08,34.9167,33.6292,77.0,64,20,11.5
158,Pahrump,US,2021-04-08 11:29:53,36.2083,-115.9839,60.01,33,41,1.01
159,Bluff,NZ,2021-04-08 11:34:09,-46.6,168.3333,48.0,93,5,2.86
160,Egvekinot,RU,2021-04-08 11:34:09,66.3167,-179.1667,-17.5,89,10,5.93
161,Tabas,IR,2021-04-08 11:34:10,33.5959,56.9244,87.75,6,13,4.05
162,Tautira,PF,2021-04-08 11:34:10,-17.7333,-149.15,75.2,78,0,3.44
163,Schleiden,DE,2021-04-08 11:34:11,50.5295,6.477,44.01,48,66,6.91
164,La Reforma,MX,2021-04-08 11:34:11,25.0833,-108.05,64.99,90,54,1.41
165,Pervomayskoye,RU,2021-04-08 11:34:11,43.919,46.7102,69.17,45,0,13.89
166,Zambezi,ZM,2021-04-08 11:34:12,-13.5432,23.1047,82.94,36,55,6.46
167,Ribeira Grande,PT,2021-04-08 11:34:12,38.5167,-28.7,62.6,82,40,20.71
168,Sibolga,ID,2021-04-08 11:34:13,1.7427,98.7792,78.87,87,89,3.56
169,Tommot,RU,2021-04-08 11:34:13,58.9564,126.2925,24.82,95,100,3.89
170,Ambulu,ID,2021-04-08 11:34:14,-8.345,113.6058,77.85,87,92,2.57
171,Areia Branca,BR,2021-04-08 11:34:14,-4.9561,-37.1369,86.25,59,18,18.72
172,Merauke,ID,2021-04-08 11:34:14,-8.4667,140.3333,76.82,87,100,5.95
173,Porto Novo,BJ,2021-04-08 11:34:15,6.4965,2.6036,89.6,70,40,14.97
174,Xining,CN,2021-04-08 11:34:15,36.6167,101.7667,50.61,51,90,20.02
175,Puerto Escondido,MX,2021-04-08 11:34:16,15.85,-97.0667,76.98,72,1,4.72
176,Torbay,CA,2021-04-08 11:34:16,47.6666,-52.7314,39.0,100,90,13.8
177,Port Hardy,CA,2021-04-08 11:34:16,50.6996,-127.4199,39.2,93,75,5.75
178,Paamiut,GL,2021-04-08 11:34:17,61.994,-49.6678,32.38,79,98,13.31
179,Shitanjing,CN,2021-04-08 11:34:17,39.2342,106.3439,55.47,39,90,2.01
180,Nara,JP,2021-04-08 11:34:18,34.6851,135.8049,62.6,77,75,11.5
181,Middelburg,ZA,2021-04-08 11:34:18,-25.7751,29.4648,79.97,22,11,8.9
182,Sao Filipe,CV,2021-04-08 11:34:19,14.8961,-24.4956,76.06,65,32,9.19
183,Macon,US,2021-04-08 11:30:20,39.8667,-88.9668,55.4,100,75,11.5
184,Darovskoy,RU,2021-04-08 11:34:19,58.77,47.9564,37.17,97,100,14.88
185,Shakiso,ET,2021-04-08 11:34:20,5.75,38.9167,82.38,26,69,7.52
186,Muros,ES,2021-04-08 11:34:20,42.7762,-9.0603,63.0,83,70,10.0
187,Zhigansk,RU,2021-04-08 11:34:20,66.7697,123.3711,16.29,95,100,9.22
188,Gravelbourg,CA,2021-04-08 11:34:21,49.8834,-106.5512,39.2,52,84,4.61
189,Kaitangata,NZ,2021-04-08 11:34:21,-46.2817,169.8464,48.18,92,5,3.49
190,Pacifica,US,2021-04-08 11:32:06,37.6138,-122.4869,50.0,81,90,13.8
191,Praia Da Vitoria,PT,2021-04-08 11:31:38,38.7333,-27.0667,64.4,72,40,17.49
192,Goderich,CA,2021-04-08 11:30:25,43.7501,-81.7165,53.6,58,100,14.97
193,Scarborough,GB,2021-04-08 11:30:07,54.2797,-0.4044,48.99,78,99,7.0
194,Gambela,ET,2021-04-08 11:34:22,8.25,34.5833,106.05,15,23,8.23
195,Tomatlan,MX,2021-04-08 11:34:22,19.9333,-105.25,61.92,73,5,1.92
196,Pisco,PE,2021-04-08 11:34:22,-13.7,-76.2167,66.2,82,100,5.75
197,Vao,NC,2021-04-08 11:34:23,-22.6667,167.4833,76.62,81,84,19.17
198,Pemba,MZ,2021-04-08 11:34:23,-12.974,40.5178,84.2,65,75,14.97
199,Shache,CN,2021-04-08 11:34:24,38.4167,77.2406,59.99,32,76,7.29
200,Plettenberg Bay,ZA,2021-04-08 11:34:24,-34.0527,23.3716,70.47,66,13,6.44
201,Bud,US,2021-04-08 11:34:24,39.447,-86.1758,61.0,89,95,12.95
202,Jiaocheng,CN,2021-04-08 11:34:25,24.6774,116.1389,63.81,90,100,2.39
203,Provideniya,RU,2021-04-08 11:34:25,64.3833,-173.3,-9.22,92,46,2.35
204,Chigorodo,CO,2021-04-08 11:34:26,7.6664,-76.6811,73.87,98,100,2.21
205,Berdigestyakh,RU,2021-04-08 11:34:26,62.0989,126.6992,26.31,95,100,12.28
206,Rumonge,BI,2021-04-08 11:34:26,-3.9736,29.4386,77.22,78,80,3.83
207,Kuah,MY,2021-04-08 11:34:27,6.3265,99.8432,87.8,74,20,5.75
208,Beisfjord,NO,2021-04-08 11:34:27,68.3751,17.5988,28.4,80,40,6.91
209,Roebourne,AU,2021-04-08 11:34:28,-20.7833,117.1333,84.69,69,30,14.07
210,Komsomolskiy,UZ,2021-04-08 11:34:28,40.4272,71.7189,69.8,21,16,2.3
211,Melilla,ES,2021-04-08 11:34:28,35.2937,-2.9383,60.8,77,75,14.97
212,Sooke,CA,2021-04-08 11:34:29,48.3746,-123.7276,41.0,79,55,24.16
213,Jacareacanga,BR,2021-04-08 11:34:29,-6.2222,-57.7528,78.39,81,100,1.5
214,Purpe,RU,2021-04-08 11:34:30,64.4803,76.6897,27.52,90,16,0.58
215,Tucuma,BR,2021-04-08 11:34:30,-0.1833,-50.05,78.15,89,100,3.96
216,Angoche,MZ,2021-04-08 11:34:31,-16.2325,39.9086,82.92,63,68,12.06
217,Oranjestad,AW,2021-04-08 11:31:09,12.524,-70.027,80.01,83,20,14.97
218,Baiima,SL,2021-04-08 11:34:31,8.1,-11.85,96.39,45,43,1.79
219,Opuwo,NA,2021-04-08 11:34:31,-18.0607,13.84,86.7,31,1,13.38
220,Alice Springs,AU,2021-04-08 11:31:18,-23.7,133.8833,71.6,35,62,5.75
221,Warri,NG,2021-04-08 11:34:32,5.5167,5.75,86.94,66,89,7.52
222,Krasnotorka,UA,2021-04-08 11:34:32,48.682,37.5327,49.64,33,97,9.13
223,Lebu,CL,2021-04-08 11:34:33,-37.6167,-73.65,54.48,90,100,11.72
224,Avera,US,2021-04-08 11:34:33,33.194,-82.5271,55.4,80,1,3.44
225,Chokurdakh,RU,2021-04-08 11:34:34,70.6333,147.9167,-17.55,97,45,3.24
226,Pacific Grove,US,2021-04-08 11:33:04,36.6177,-121.9166,50.0,88,57,5.01
227,Bandar-E Anzali,IR,2021-04-08 11:34:34,37.4727,49.4622,78.8,47,0,6.2
228,Dhuburi,IN,2021-04-08 11:34:35,26.0333,89.9667,94.69,25,5,1.66
229,Saldanha,ZA,2021-04-08 11:34:35,-33.0117,17.9442,77.0,44,41,13.8
230,Pedernales,DO,2021-04-08 11:34:35,18.0384,-71.744,77.58,77,92,3.91
231,Makokou,GA,2021-04-08 11:34:36,0.5738,12.8642,84.2,70,75,1.34
232,Salvador,SV,2021-04-08 11:34:36,13.8333,-88.9167,71.6,88,20,1.14
233,Ponta Do Sol,PT,2021-04-08 11:34:37,32.6667,-17.1,69.8,68,20,9.22
234,Tambilil,PH,2021-04-08 11:34:37,5.9622,124.6697,80.24,83,54,3.42
235,Marawi,PH,2021-04-08 11:34:38,7.9986,124.2928,80.01,82,100,5.01
236,Te Anau,NZ,2021-04-08 11:34:38,-45.4167,167.7167,45.59,91,3,2.64
237,Manaus,BR,2021-04-08 11:30:34,-3.1019,-60.025,78.8,94,75,1.14
238,Ballina,AU,2021-04-08 11:34:39,-28.8667,153.5667,68.0,88,51,8.05
239,Leningradskiy,RU,2021-04-08 11:34:39,69.3833,178.4167,-23.76,98,21,6.06
240,Wahpeton,US,2021-04-08 11:34:39,46.2652,-96.6059,44.01,100,90,8.05
241,Lisakovsk,KZ,2021-04-08 11:34:40,52.5369,62.4936,36.73,88,77,9.69
242,Dharchula,IN,2021-04-08 11:34:40,29.85,80.5333,72.61,27,58,6.55
243,Mount Isa,AU,2021-04-08 11:34:41,-20.7333,139.5,77.0,29,37,4.61
244,Ancud,CL,2021-04-08 11:34:41,-41.8697,-73.8203,54.0,88,100,13.0
245,Havoysund,NO,2021-04-08 11:34:41,70.9963,24.6622,33.8,55,0,1.14
246,Adiake,CI,2021-04-08 11:34:42,5.2863,-3.304,89.6,74,40,11.5
247,Touros,BR,2021-04-08 11:34:42,-5.1989,-35.4608,78.8,94,40,9.22
248,Lompoc,US,2021-04-08 11:34:43,34.6391,-120.4579,48.2,93,90,6.91
249,Algiers,DZ,2021-04-08 11:32:35,36.7525,3.042,62.6,59,40,9.22
250,Qaanaaq,GL,2021-04-08 11:34:43,77.484,-69.3632,5.88,67,100,5.66
251,Zatoka,UA,2021-04-08 11:34:44,46.0725,30.4654,48.2,31,0,13.42
252,Walvis Bay,NA,2021-04-08 11:34:44,-22.9575,14.5053,80.6,39,20,10.36
253,Castro,BR,2021-04-08 11:34:44,-24.7911,-50.0119,62.2,83,48,14.16
254,Parangan,PH,2021-04-08 11:34:45,5.0839,119.9383,80.28,80,94,9.24
255,Molokovo,RU,2021-04-08 11:34:45,58.1661,36.7628,32.99,97,100,17.92
256,Pringsewu,ID,2021-04-08 11:34:46,-5.3582,104.9744,75.87,88,56,2.68
257,Ahuimanu,US,2021-04-08 11:34:46,21.4447,-157.8378,71.6,68,20,12.66
258,Rio Grande,BR,2021-04-08 11:34:46,-32.035,-52.0986,71.6,83,0,6.91
259,Sorland,NO,2021-04-08 11:34:47,67.667,12.6934,30.2,80,40,8.05
260,Caravelas,BR,2021-04-08 11:34:47,-17.7125,-39.2481,75.34,83,79,13.33
261,Riyadh,SA,2021-04-08 11:31:35,24.6877,46.7219,96.8,6,0,10.36
262,Thompson,CA,2021-04-08 11:30:21,55.7435,-97.8558,30.2,74,40,5.75
263,Port Keats,AU,2021-04-08 11:34:48,-14.25,129.55,81.54,77,53,8.32
264,Novyy Urengoy,RU,2021-04-08 11:34:48,66.0833,76.6333,14.7,88,34,1.83
265,Ayan,RU,2021-04-08 11:34:48,56.45,138.1667,19.31,95,98,7.34
266,Eskisehir,TR,2021-04-08 11:32:50,39.7767,30.5206,59.0,81,75,13.8
267,Labuhan,ID,2021-04-08 11:34:49,-6.8844,112.2051,81.18,84,85,14.36
268,Iqaluit,CA,2021-04-08 11:34:49,63.7506,-68.5145,30.2,69,75,11.5
269,Thaba-Tseka,LS,2021-04-08 11:34:50,-29.522,28.6084,64.27,38,44,8.9
270,Nanortalik,GL,2021-04-08 11:34:50,60.1432,-45.2371,37.02,60,61,4.36
271,Abu Dhabi,AE,2021-04-08 11:34:48,24.4667,54.3667,89.6,45,0,9.22
272,Tikhvin,RU,2021-04-08 11:34:50,59.6451,33.5294,39.06,72,100,11.68
273,Ostrovnoy,RU,2021-04-08 11:34:51,68.0531,39.5131,34.66,99,100,13.15
274,Margate,GB,2021-04-08 11:30:29,51.3813,1.3862,51.01,40,45,1.99
275,Thunder Bay,CA,2021-04-08 11:32:52,48.4001,-89.3168,43.0,93,90,11.5
276,Bulawayo,ZW,2021-04-08 11:34:51,-20.15,28.5833,79.5,20,2,9.62
277,Gizo,SB,2021-04-08 11:34:52,-8.103,156.8419,78.73,93,100,15.19
278,Broome,US,2021-04-08 11:34:52,42.2506,-75.833,46.99,76,1,6.91
279,Yakeshi,CN,2021-04-08 11:34:53,49.2833,120.7333,43.18,45,78,6.15
280,Kahului,US,2021-04-08 11:30:25,20.8947,-156.47,66.2,94,1,8.05
281,Buala,SB,2021-04-08 11:34:53,-8.145,159.5921,78.28,85,100,5.41
282,Lagoa,PT,2021-04-08 11:34:54,39.05,-27.9833,59.22,85,24,23.64
283,Smolyaninovo,RU,2021-04-08 11:34:54,43.2956,132.4675,33.8,55,20,8.95
284,Mount Gambier,AU,2021-04-08 11:34:54,-37.8333,140.7667,60.8,94,90,8.05
285,Norman Wells,CA,2021-04-08 11:34:55,65.282,-126.8329,-11.2,84,20,8.05
286,Cairns,AU,2021-04-08 11:33:29,-16.9167,145.7667,73.99,94,75,4.61
287,Hami,CN,2021-04-08 11:34:55,42.8,93.45,66.24,17,100,7.99
288,Cidreira,BR,2021-04-08 11:34:56,-30.1811,-50.2056,74.16,72,0,20.76
289,Raga,SS,2021-04-08 11:34:56,8.4596,25.678,105.58,11,100,6.85
290,Gbongan,NG,2021-04-08 11:34:56,7.4667,4.35,87.8,70,75,10.36
291,Ihlow,DE,2021-04-08 11:34:57,51.8833,13.3333,44.01,56,75,16.11
292,Tamale,GH,2021-04-08 11:34:57,9.4008,-0.8393,101.17,27,92,4.7
293,Dingle,PH,2021-04-08 11:34:57,10.9995,122.6711,77.76,77,100,5.1
294,Hasaki,JP,2021-04-08 11:34:58,35.7333,140.8333,55.4,82,75,9.22
