City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Padang,ID,-0.9492,100.3543,80.56,80,95,1.81,overcast clouds
229,Kudahuvadhoo,MV,2.6708,72.8944,82.69,64,93,8.7,overcast clouds
230,Noumea,NC,-22.2763,166.4572,79.0,83,90,11.5,overcast clouds
231,Vichy,FR,46.25,3.5833,30.0,80,0,1.14,clear sky
232,Katsuura,JP,35.1333,140.3,57.99,47,20,8.05,few clouds
233,Mehamn,NO,71.0357,27.8492,28.74,73,99,11.16,overcast clouds
234,Yanam,IN,16.7333,82.2167,80.6,78,75,11.5,light rain
235,Surgut,RU,61.25,73.4167,42.8,70,0,8.95,clear sky
236,Lavrentiya,RU,65.5833,-171.0,29.44,88,97,2.35,overcast clouds
237,Ilulissat,GL,69.2167,-51.1,15.8,57,75,17.27,broken clouds
238,Carnarvon,AU,-24.8667,113.6333,80.31,42,0,19.33,clear sky
239,Roma,US,43.2128,-75.4557,53.6,50,90,5.75,overcast clouds
240,La Ronge,CA,55.1001,-105.2842,42.8,26,98,4.61,overcast clouds
241,Zhezkazgan,KZ,47.8043,67.7144,47.16,54,1,13.85,clear sky
242,Yangmei,CN,24.1023,112.5618,67.68,92,100,1.12,overcast clouds
243,Gusinoye Ozero,RU,51.1144,106.2614,35.19,45,100,3.09,overcast clouds
244,Fuente De Oro,CO,3.4594,-73.6128,71.46,96,100,0.96,overcast clouds
245,Takoradi,GH,4.8845,-1.7554,79.65,85,100,7.4,overcast clouds
246,Airai,TL,-8.9266,125.4092,71.06,43,64,3.0,broken clouds
247,Hamilton,US,39.1834,-84.5333,53.01,71,1,3.44,clear sky
248,Satrikh,IN,26.8667,81.2,84.2,30,75,3.44,haze
249,New Norfolk,AU,-42.7826,147.0587,55.99,76,11,5.01,light rain
250,Buraydah,SA,26.326,43.975,66.2,37,0,8.05,clear sky
251,Hasaki,JP,35.7333,140.8333,57.99,40,20,12.66,few clouds
252,Dunedin,NZ,-45.8742,170.5036,62.01,65,29,3.0,scattered clouds
253,Roald,NO,62.5833,6.1333,39.2,75,90,6.91,overcast clouds
254,Amazar,RU,53.858,120.875,36.41,41,100,3.96,overcast clouds
255,Fort Nelson,CA,58.8053,-122.7002,59.0,29,40,6.91,scattered clouds
256,Alofi,NU,-19.0595,-169.9187,82.4,61,40,5.75,scattered clouds
257,Ginir,ET,7.1333,40.7,57.81,70,21,4.61,few clouds
258,Muramvya,BI,-3.2682,29.6079,57.11,95,100,0.45,light rain
259,Chicama,PE,-7.8447,-79.1469,66.2,88,20,12.66,few clouds
260,Mogadishu,SO,2.0371,45.3438,81.61,71,99,8.16,overcast clouds
